#dimension
2
#Nx,Ny
100 100
#Xmin,Xmax,Ymin,Ymax
0.000000 123.400000 0.000000 134.500000
#\Delta t_fperiod between neighoring frames
0.010000
#frame number n (t=n\Delta t)
14
#I,J,P,Ux,Uy
0 0 1299.255959 0.000000 -0.000000
0 1 1298.998678 0.000000 -0.035867
0 2 1298.230891 0.000000 -0.071591
0 3 1296.964708 0.000000 -0.107034
0 4 1295.220096 0.000000 -0.142054
0 5 1293.024569 0.000000 -0.176513
0 6 1290.412753 0.000000 -0.210276
0 7 1287.425836 0.000000 -0.243209
0 8 1284.110925 0.000000 -0.275182
0 9 1280.520297 0.000000 -0.306069
0 10 1276.710580 0.000000 -0.335748
0 11 1272.741853 0.000000 -0.364102
0 12 1268.676707 0.000000 -0.391020
0 13 1264.579252 0.000000 -0.416393
0 14 1260.514106 0.000000 -0.440124
0 15 1256.545379 0.000000 -0.462118
0 16 1252.735661 0.000000 -0.482288
0 17 1249.145034 0.000000 -0.500554
0 18 1245.830123 0.000000 -0.516845
0 19 1242.843206 0.000000 -0.531097
0 20 1240.231390 0.000000 -0.543252
0 21 1238.035863 0.000000 -0.553263
0 22 1236.291251 0.000000 -0.561091
0 23 1235.025068 0.000000 -0.566705
0 24 1234.257281 0.000000 -0.570082
0 25 1234.000000 0.000000 -0.571209
0 26 1234.257281 -0.000000 -0.570082
0 27 1235.025068 -0.000000 -0.566705
0 28 1236.291251 -0.000000 -0.561091
0 29 1238.035863 -0.000000 -0.553263
0 30 1240.231390 -0.000000 -0.543252
0 31 1242.843206 -0.000000 -0.531097
0 32 1245.830123 -0.000000 -0.516845
0 33 1249.145034 -0.000000 -0.500554
0 34 1252.735661 -0.000000 -0.482288
0 35 1256.545379 -0.000000 -0.462118
0 36 1260.514106 -0.000000 -0.440124
0 37 1264.579252 -0.000000 -0.416393
0 38 1268.676707 -0.000000 -0.391020
0 39 1272.741853 -0.000000 -0.364102
0 40 1276.710580 -0.000000 -0.335748
0 41 1280.520297 -0.000000 -0.306069
0 42 1284.110925 -0.000000 -0.275182
0 43 1287.425836 -0.000000 -0.243209
0 44 1290.412753 -0.000000 -0.210276
0 45 1293.024569 -0.000000 -0.176513
0 46 1295.220096 -0.000000 -0.142054
0 47 1296.964708 -0.000000 -0.107034
0 48 1298.230891 -0.000000 -0.071591
0 49 1298.998678 -0.000000 -0.035867
0 50 1299.255959 -0.000000 -0.000000
0 51 1298.998678 -0.000000 0.035867
0 52 1298.230891 -0.000000 0.071591
0 53 1296.964708 -0.000000 0.107034
0 54 1295.220096 -0.000000 0.142054
0 55 1293.024569 -0.000000 0.176513
0 56 1290.412753 -0.000000 0.210276
0 57 1287.425836 -0.000000 0.243209
0 58 1284.110925 -0.000000 0.275182
0 59 1280.520297 -0.000000 0.306069
0 60 1276.710580 -0.000000 0.335748
0 61 1272.741853 -0.000000 0.364102
0 62 1268.676707 -0.000000 0.391020
0 63 1264.579252 -0.000000 0.416393
0 64 1260.514106 -0.000000 0.440124
0 65 1256.545379 -0.000000 0.462118
0 66 1252.735661 -0.000000 0.482288
0 67 1249.145034 -0.000000 0.500554
0 68 1245.830123 -0.000000 0.516845
0 69 1242.843206 -0.000000 0.531097
0 70 1240.231390 -0.000000 0.543252
0 71 1238.035863 -0.000000 0.553263
0 72 1236.291251 -0.000000 0.561091
0 73 1235.025068 -0.000000 0.566705
0 74 1234.257281 -0.000000 0.570082
0 75 1234.000000 -0.000000 0.571209
0 76 1234.257281 0.000000 0.570082
0 77 1235.025068 0.000000 0.566705
0 78 1236.291251 0.000000 0.561091
0 79 1238.035863 0.000000 0.553263
0 80 1240.231390 0.000000 0.543252
0 81 1242.843206 0.000000 0.531097
0 82 1245.830123 0.000000 0.516845
0 83 1249.145034 0.000000 0.500554
0 84 1252.735661 0.000000 0.482288
0 85 1256.545379 0.000000 0.462118
0 86 1260.514106 0.000000 0.440124
0 87 1264.579252 0.000000 0.416393
0 88 1268.676707 0.000000 0.391020
0 89 1272.741853 0.000000 0.364102
0 90 1276.710580 0.000000 0.335748
0 91 1280.520297 0.000000 0.306069
0 92 1284.110925 0.000000 0.275182
0 93 1287.425836 0.000000 0.243209
0 94 1290.412753 0.000000 0.210276
0 95 1293.024569 0.000000 0.176513
0 96 1295.220096 0.000000 0.142054
0 97 1296.964708 0.000000 0.107034
0 98 1298.230891 0.000000 0.071591
0 99 1298.998678 0.000000 0.035867
0 100 1299.255959 0.000000 0.000000
1 0 1298.998678 0.035867 -0.000000
1 1 1298.741396 0.035796 -0.035796
1 2 1297.973610 0.035584 -0.071450
1 3 1296.707426 0.035231 -0.106823
1 4 1294.962814 0.034740 -0.141774
1 5 1292.767288 0.034111 -0.176165
1 6 1290.155472 0.033348 -0.209861
1 7 1287.168555 0.032453 -0.242729
1 8 1283.853644 0.031430 -0.274639
1 9 1280.263016 0.030283 -0.305465
1 10 1276.453298 0.029017 -0.335086
1 11 1272.484572 0.027636 -0.363384
1 12 1268.419426 0.026146 -0.390248
1 13 1264.321970 0.024552 -0.415572
1 14 1260.256824 0.022862 -0.439256
1 15 1256.288098 0.021082 -0.461206
