#dimension
2
#Nx,Ny
100 100
#Xmin,Xmax,Ymin,Ymax
0.000000 123.400000 0.000000 134.500000
#\Delta t_fperiod between neighoring frames
0.010000
#frame number n (t=n\Delta t)
1
#I,J,P,Ux,Uy
0 0 1418.623269 0.000000 -0.000000
0 1 1417.895364 0.000000 -0.060328
0 2 1415.723130 0.000000 -0.120419
0 3 1412.140822 0.000000 -0.180034
0 4 1407.204937 0.000000 -0.238939
0 5 1400.993316 0.000000 -0.296900
0 6 1393.603920 0.000000 -0.353690
0 7 1385.153285 0.000000 -0.409084
0 8 1375.774682 0.000000 -0.462864
0 9 1365.616017 0.000000 -0.514817
0 10 1354.837499 0.000000 -0.564738
0 11 1343.609110 0.000000 -0.612430
0 12 1332.107930 0.000000 -0.657706
0 13 1320.515339 0.000000 -0.700385
0 14 1309.014159 0.000000 -0.740301
0 15 1297.785771 0.000000 -0.777295
0 16 1287.007252 0.000000 -0.811221
0 17 1276.848587 0.000000 -0.841946
0 18 1267.469984 0.000000 -0.869348
0 19 1259.019349 0.000000 -0.893319
0 20 1251.629953 0.000000 -0.913765
0 21 1245.418333 0.000000 -0.930604
0 22 1240.482447 0.000000 -0.943771
0 23 1236.900140 0.000000 -0.953213
0 24 1234.727905 0.000000 -0.958894
0 25 1234.000000 0.000000 -0.960789
0 26 1234.727905 -0.000000 -0.958894
0 27 1236.900140 -0.000000 -0.953213
0 28 1240.482447 -0.000000 -0.943771
0 29 1245.418333 -0.000000 -0.930604
0 30 1251.629953 -0.000000 -0.913765
0 31 1259.019349 -0.000000 -0.893319
0 32 1267.469984 -0.000000 -0.869348
0 33 1276.848587 -0.000000 -0.841946
0 34 1287.007252 -0.000000 -0.811221
0 35 1297.785771 -0.000000 -0.777295
0 36 1309.014159 -0.000000 -0.740301
0 37 1320.515339 -0.000000 -0.700385
0 38 1332.107930 -0.000000 -0.657706
0 39 1343.609110 -0.000000 -0.612430
0 40 1354.837499 -0.000000 -0.564738
0 41 1365.616017 -0.000000 -0.514817
0 42 1375.774682 -0.000000 -0.462864
0 43 1385.153285 -0.000000 -0.409084
0 44 1393.603920 -0.000000 -0.353690
0 45 1400.993316 -0.000000 -0.296900
0 46 1407.204937 -0.000000 -0.238939
0 47 1412.140822 -0.000000 -0.180034
0 48 1415.723130 -0.000000 -0.120419
0 49 1417.895364 -0.000000 -0.060328
0 50 1418.623269 -0.000000 -0.000000
0 51 1417.895364 -0.000000 0.060328
0 52 1415.723130 -0.000000 0.120419
0 53 1412.140822 -0.000000 0.180034
0 54 1407.204937 -0.000000 0.238939
0 55 1400.993316 -0.000000 0.296900
0 56 1393.603920 -0.000000 0.353690
0 57 1385.153285 -0.000000 0.409084
0 58 1375.774682 -0.000000 0.462864
0 59 1365.616017 -0.000000 0.514817
0 60 1354.837499 -0.000000 0.564738
0 61 1343.609110 -0.000000 0.612430
0 62 1332.107930 -0.000000 0.657706
0 63 1320.515339 -0.000000 0.700385
0 64 1309.014159 -0.000000 0.740301
0 65 1297.785771 -0.000000 0.777295
0 66 1287.007252 -0.000000 0.811221
0 67 1276.848587 -0.000000 0.841946
0 68 1267.469984 -0.000000 0.869348
0 69 1259.019349 -0.000000 0.893319
0 70 1251.629953 -0.000000 0.913765
0 71 1245.418333 -0.000000 0.930604
0 72 1240.482447 -0.000000 0.943771
0 73 1236.900140 -0.000000 0.953213
0 74 1234.727905 -0.000000 0.958894
0 75 1234.000000 -0.000000 0.960789
0 76 1234.727905 0.000000 0.958894
0 77 1236.900140 0.000000 0.953213
0 78 1240.482447 0.000000 0.943771
0 79 1245.418333 0.000000 0.930604
0 80 1251.629953 0.000000 0.913765
0 81 1259.019349 0.000000 0.893319
0 82 1267.469984 0.000000 0.869348
0 83 1276.848587 0.000000 0.841946
0 84 1287.007252 0.000000 0.811221
0 85 1297.785771 0.000000 0.777295
0 86 1309.014159 0.000000 0.740301
0 87 1320.515339 0.000000 0.700385
0 88 1332.107930 0.000000 0.657706
0 89 1343.609110 0.000000 0.612430
0 90 1354.837499 0.000000 0.564738
0 91 1365.616017 0.000000 0.514817
0 92 1375.774682 0.000000 0.462864
0 93 1385.153285 0.000000 0.409084
0 94 1393.603920 0.000000 0.353690
0 95 1400.993316 0.000000 0.296900
0 96 1407.204937 0.000000 0.238939
0 97 1412.140822 0.000000 0.180034
0 98 1415.723130 0.000000 0.120419
0 99 1417.895364 0.000000 0.060328
0 100 1418.623269 0.000000 0.000000
1 0 1417.895364 0.060328 -0.000000
1 1 1417.167460 0.060209 -0.060209
1 2 1414.995225 0.059853 -0.120181
1 3 1411.412917 0.059260 -0.179679
1 4 1406.477032 0.058433 -0.238467
1 5 1400.265411 0.057376 -0.296314
1 6 1392.876015 0.056092 -0.352992
1 7 1384.425380 0.054587 -0.408277
1 8 1375.046777 0.052866 -0.461950
1 9 1364.888112 0.050937 -0.513801
1 10 1354.109594 0.048807 -0.563623
1 11 1342.881205 0.046484 -0.611222
1 12 1331.380025 0.043978 -0.656408
1 13 1319.787434 0.041298 -0.699003
1 14 1308.286254 0.038455 -0.738840
1 15 1297.057866 0.035460 -0.775761
1 16 1286.279347 0.032326 -0.809621
1 17 1276.120682 0.029063 -0.840285
1 18 1266.742079 0.025687 -0.867633
1 19 1258.291444 0.022208 -0.891557
1 20 1250.902049 0.018643 -0.911962
1 21 1244.690428 0.015003 -0.928768
1 22 1239.754543 0.011304 -0.941909
1 23 1236.172235 0.007561 -0.951332
1 24 1234.000000 0.003788 -0.957001
1 25 1233.272095 0.000000 -0.958894
1 26 1234.000000 -0.003788 -0.957001
1 27 1236.172235 -0.007561 -0.951332
1 28 1239.754543 -0.011304 -0.941909
1 29 1244.690428 -0.015003 -0.928768
1 30 1250.902049 -0.018643 -0.911962
1 31 1258.291444 -0.022208 -0.891557
1 32 1266.742079 -0.025687 -0.867633
1 33 1276.120682 -0.029063 -0.840285
1 34 1286.279347 -0.032326 -0.809621
1 35 1297.057866 -0.035460 -0.775761
1 36 1308.286254 -0.038455 -0.738840
1 37 1319.787434 -0.041298 -0.699003
1 38 1331.380025 -0.043978 -0.656408
1 39 1342.881205 -0.046484 -0.611222
1 40 1354.109594 -0.048807 -0.563623
1 41 1364.888112 -0.050937 -0.513801
1 42 1375.046777 -0.052866 -0.461950
1 43 1384.425380 -0.054587 -0.408277
1 44 1392.876015 -0.056092 -0.352992
1 45 1400.265411 -0.057376 -0.296314
1 46 1406.477032 -0.058433 -0.238467
1 47 1411.412917 -0.059260 -0.179679
1 48 1414.995225 -0.059853 -0.120181
1 49 1417.167460 -0.060209 -0.060209
1 50 1417.895364 -0.060328 -0.000000
1 51 1417.167460 -0.060209 0.060209
1 52 1414.995225 -0.059853 0.120181
1 53 1411.412917 -0.059260 0.179679
1 54 1406.477032 -0.058433 0.238467
1 55 1400.265411 -0.057376 0.296314
1 56 1392.876015 -0.056092 0.352992
1 57 1384.425380 -0.054587 0.408277
1 58 1375.046777 -0.052866 0.461950
1 59 1364.888112 -0.050937 0.513801
1 60 1354.109594 -0.048807 0.563623
1 61 1342.881205 -0.046484 0.611222
1 62 1331.380025 -0.043978 0.656408
1 63 1319.787434 -0.041298 0.699003
1 64 1308.286254 -0.038455 0.738840
1 65 1297.057866 -0.035460 0.775761
1 66 1286.279347 -0.032326 0.809621
1 67 1276.120682 -0.029063 0.840285
1 68 1266.742079 -0.025687 0.867633
1 69 1258.291444 -0.022208 0.891557
1 70 1250.902049 -0.018643 0.911962
1 71 1244.690428 -0.015003 0.928768
1 72 1239.754543 -0.011304 0.941909
1 73 1236.172235 -0.007561 0.951332
1 74 1234.000000 -0.003788 0.957001
1 75 1233.272095 -0.000000 0.958894
1 76 1234.000000 0.003788 0.957001
1 77 1236.172235 0.007561 0.951332
1 78 1239.754543 0.011304 0.941909
1 79 1244.690428 0.015003 0.928768
1 80 1250.902049 0.018643 0.911962
1 81 1258.291444 0.022208 0.891557
1 82 1266.742079 0.025687 0.867633
1 83 1276.120682 0.029063 0.840285
1 84 1286.279347 0.032326 0.809621
1 85 1297.057866 0.035460 0.775761
1 86 1308.286254 0.038455 0.738840
1 87 1319.787434 0.041298 0.699003
1 88 1331.380025 0.043978 0.656408
1 89 1342.881205 0.046484 0.611222
1 90 1354.109594 0.048807 0.563623
1 91 1364.888112 0.050937 0.513801
1 92 1375.046777 0.052866 0.461950
1 93 1384.425380 0.054587 0.408277
1 94 1392.876015 0.056092 0.352992
1 95 1400.265411 0.057376 0.296314
1 96 1406.477032 0.058433 0.238467
1 97 1411.412917 0.059260 0.179679
1 98 1414.995225 0.059853 0.120181
1 99 1417.167460 0.060209 0.060209
1 100 1417.895364 0.060328 0.000000
2 0 1415.723130 0.120419 -0.000000
2 1 1414.995225 0.120181 -0.059853
2 2 1412.822990 0.119469 -0.119469
2 3 1409.240682 0.118286 -0.178614
2 4 1404.304797 0.116636 -0.237055
2 5 1398.093176 0.114525 -0.294559
2 6 1390.703780 0.111963 -0.350901
2 7 1382.253145 0.108958 -0.405858
2 8 1372.874542 0.105524 -0.459214
2 9 1362.715877 0.101673 -0.510757
2 10 1351.937359 0.097421 -0.560285
2 11 1340.708970 0.092784 -0.607601
2 12 1329.207790 0.087782 -0.652519
2 13 1317.615199 0.082432 -0.694863
2 14 1306.114019 0.076758 -0.734463
2 15 1294.885631 0.070780 -0.771166
2 16 1284.107112 0.064524 -0.804825
2 17 1273.948448 0.058012 -0.835307
2 18 1264.569844 0.051272 -0.862493
2 19 1256.119209 0.044329 -0.886275
2 20 1248.729814 0.037211 -0.906560
2 21 1242.518193 0.029947 -0.923266
2 22 1237.582308 0.022564 -0.936329
2 23 1234.000000 0.015092 -0.945697
2 24 1231.827765 0.007561 -0.951332
2 25 1231.099860 0.000000 -0.953213
2 26 1231.827765 -0.007561 -0.951332
2 27 1234.000000 -0.015092 -0.945697
2 28 1237.582308 -0.022564 -0.936329
2 29 1242.518193 -0.029947 -0.923266
2 30 1248.729814 -0.037211 -0.906560
2 31 1256.119209 -0.044329 -0.886275
2 32 1264.569844 -0.051272 -0.862493
2 33 1273.948448 -0.058012 -0.835307
2 34 1284.107112 -0.064524 -0.804825
2 35 1294.885631 -0.070780 -0.771166
2 36 1306.114019 -0.076758 -0.734463
2 37 1317.615199 -0.082432 -0.694863
2 38 1329.207790 -0.087782 -0.652519
2 39 1340.708970 -0.092784 -0.607601
2 40 1351.937359 -0.097421 -0.560285
2 41 1362.715877 -0.101673 -0.510757
2 42 1372.874542 -0.105524 -0.459214
2 43 1382.253145 -0.108958 -0.405858
2 44 1390.703780 -0.111963 -0.350901
2 45 1398.093176 -0.114525 -0.294559
2 46 1404.304797 -0.116636 -0.237055
2 47 1409.240682 -0.118286 -0.178614
2 48 1412.822990 -0.119469 -0.119469
2 49 1414.995225 -0.120181 -0.059853
2 50 1415.723130 -0.120419 -0.000000
2 51 1414.995225 -0.120181 0.059853
2 52 1412.822990 -0.119469 0.119469
2 53 1409.240682 -0.118286 0.178614
2 54 1404.304797 -0.116636 0.237055
2 55 1398.093176 -0.114525 0.294559
2 56 1390.703780 -0.111963 0.350901
2 57 1382.253145 -0.108958 0.405858
2 58 1372.874542 -0.105524 0.459214
2 59 1362.715877 -0.101673 0.510757
2 60 1351.937359 -0.097421 0.560285
2 61 1340.708970 -0.092784 0.607601
2 62 1329.207790 -0.087782 0.652519
2 63 1317.615199 -0.082432 0.694863
2 64 1306.114019 -0.076758 0.734463
2 65 1294.885631 -0.070780 0.771166
2 66 1284.107112 -0.064524 0.804825
2 67 1273.948448 -0.058012 0.835307
2 68 1264.569844 -0.051272 0.862493
2 69 1256.119209 -0.044329 0.886275
2 70 1248.729814 -0.037211 0.906560
2 71 1242.518193 -0.029947 0.923266
2 72 1237.582308 -0.022564 0.936329
2 73 1234.000000 -0.015092 0.945697
2 74 1231.827765 -0.007561 0.951332
2 75 1231.099860 -0.000000 0.953213
2 76 1231.827765 0.007561 0.951332
2 77 1234.000000 0.015092 0.945697
2 78 1237.582308 0.022564 0.936329
2 79 1242.518193 0.029947 0.923266
2 80 1248.729814 0.037211 0.906560
2 81 1256.119209 0.044329 0.886275
2 82 1264.569844 0.051272 0.862493
2 83 1273.948448 0.058012 0.835307
2 84 1284.107112 0.064524 0.804825
2 85 1294.885631 0.070780 0.771166
2 86 1306.114019 0.076758 0.734463
2 87 1317.615199 0.082432 0.694863
2 88 1329.207790 0.087782 0.652519
2 89 1340.708970 0.092784 0.607601
2 90 1351.937359 0.097421 0.560285
2 91 1362.715877 0.101673 0.510757
2 92 1372.874542 0.105524 0.459214
2 93 1382.253145 0.108958 0.405858
2 94 1390.703780 0.111963 0.350901
2 95 1398.093176 0.114525 0.294559
2 96 1404.304797 0.116636 0.237055
2 97 1409.240682 0.118286 0.178614
2 98 1412.822990 0.119469 0.119469
2 99 1414.995225 0.120181 0.059853
2 100 1415.723130 0.120419 0.000000
3 0 1412.140822 0.180034 -0.000000
3 1 1411.412917 0.179679 -0.059260
3 2 1409.240682 0.178614 -0.118286
3 3 1405.658375 0.176845 -0.176845
3 4 1400.722489 0.174378 -0.234706
3 5 1394.510868 0.171222 -0.291641
3 6 1387.121473 0.167391 -0.347425
3 7 1378.670838 0.162900 -0.401838
3 8 1369.292235 0.157765 -0.454665
3 9 1359.133570 0.152008 -0.505698
3 10 1348.355051 0.145651 -0.554735
3 11 1337.126663 0.138719 -0.601582
3 12 1325.625483 0.131239 -0.646056
3 13 1314.032892 0.123242 -0.687980
3 14 1302.531712 0.114758 -0.727188
3 15 1291.303323 0.105821 -0.763527
3 16 1280.524805 0.096467 -0.796852
3 17 1270.366140 0.086732 -0.827033
3 18 1260.987537 0.076655 -0.853950
3 19 1252.536902 0.066275 -0.877496
3 20 1245.147506 0.055634 -0.897580
3 21 1238.935885 0.044773 -0.914121
3 22 1234.000000 0.033735 -0.927054
3 23 1230.417692 0.022564 -0.936329
3 24 1228.245457 0.011304 -0.941909
3 25 1227.517553 0.000000 -0.943771
3 26 1228.245457 -0.011304 -0.941909
3 27 1230.417692 -0.022564 -0.936329
3 28 1234.000000 -0.033735 -0.927054
3 29 1238.935885 -0.044773 -0.914121
3 30 1245.147506 -0.055634 -0.897580
3 31 1252.536902 -0.066275 -0.877496
3 32 1260.987537 -0.076655 -0.853950
3 33 1270.366140 -0.086732 -0.827033
3 34 1280.524805 -0.096467 -0.796852
3 35 1291.303323 -0.105821 -0.763527
3 36 1302.531712 -0.114758 -0.727188
3 37 1314.032892 -0.123242 -0.687980
3 38 1325.625483 -0.131239 -0.646056
3 39 1337.126663 -0.138719 -0.601582
3 40 1348.355051 -0.145651 -0.554735
3 41 1359.133570 -0.152008 -0.505698
3 42 1369.292235 -0.157765 -0.454665
3 43 1378.670838 -0.162900 -0.401838
3 44 1387.121473 -0.167391 -0.347425
3 45 1394.510868 -0.171222 -0.291641
3 46 1400.722489 -0.174378 -0.234706
3 47 1405.658375 -0.176845 -0.176845
3 48 1409.240682 -0.178614 -0.118286
3 49 1411.412917 -0.179679 -0.059260
3 50 1412.140822 -0.180034 -0.000000
3 51 1411.412917 -0.179679 0.059260
3 52 1409.240682 -0.178614 0.118286
3 53 1405.658375 -0.176845 0.176845
3 54 1400.722489 -0.174378 0.234706
3 55 1394.510868 -0.171222 0.291641
3 56 1387.121473 -0.167391 0.347425
3 57 1378.670838 -0.162900 0.401838
3 58 1369.292235 -0.157765 0.454665
3 59 1359.133570 -0.152008 0.505698
3 60 1348.355051 -0.145651 0.554735
3 61 1337.126663 -0.138719 0.601582
3 62 1325.625483 -0.131239 0.646056
3 63 1314.032892 -0.123242 0.687980
3 64 1302.531712 -0.114758 0.727188
3 65 1291.303323 -0.105821 0.763527
3 66 1280.524805 -0.096467 0.796852
3 67 1270.366140 -0.086732 0.827033
3 68 1260.987537 -0.076655 0.853950
3 69 1252.536902 -0.066275 0.877496
3 70 1245.147506 -0.055634 0.897580
3 71 1238.935885 -0.044773 0.914121
3 72 1234.000000 -0.033735 0.927054
3 73 1230.417692 -0.022564 0.936329
3 74 1228.245457 -0.011304 0.941909
3 75 1227.517553 -0.000000 0.943771
3 76 1228.245457 0.011304 0.941909
3 77 1230.417692 0.022564 0.936329
3 78 1234.000000 0.033735 0.927054
3 79 1238.935885 0.044773 0.914121
3 80 1245.147506 0.055634 0.897580
3 81 1252.536902 0.066275 0.877496
3 82 1260.987537 0.076655 0.853950
3 83 1270.366140 0.086732 0.827033
3 84 1280.524805 0.096467 0.796852
3 85 1291.303323 0.105821 0.763527
3 86 1302.531712 0.114758 0.727188
3 87 1314.032892 0.123242 0.687980
3 88 1325.625483 0.131239 0.646056
3 89 1337.126663 0.138719 0.601582
3 90 1348.355051 0.145651 0.554735
3 91 1359.133570 0.152008 0.505698
3 92 1369.292235 0.157765 0.454665
3 93 1378.670838 0.162900 0.401838
3 94 1387.121473 0.167391 0.347425
3 95 1394.510868 0.171222 0.291641
3 96 1400.722489 0.174378 0.234706
3 97 1405.658375 0.176845 0.176845
3 98 1409.240682 0.178614 0.118286
3 99 1411.412917 0.179679 0.059260
3 100 1412.140822 0.180034 0.000000
4 0 1407.204937 0.238939 -0.000000
4 1 1406.477032 0.238467 -0.058433
4 2 1404.304797 0.237055 -0.116636
4 3 1400.722489 0.234706 -0.174378
4 4 1395.786604 0.231432 -0.231432
4 5 1389.574983 0.227244 -0.287573
4 6 1382.185588 0.222160 -0.342578
4 7 1373.734953 0.216198 -0.396232
4 8 1364.356349 0.209384 -0.448322
4 9 1354.197684 0.201743 -0.498643
4 10 1343.419166 0.193305 -0.546996
4 11 1332.190778 0.184105 -0.593190
4 12 1320.689598 0.174179 -0.637043
4 13 1309.097007 0.163565 -0.678381
