#dimension
2
#Nx,Ny
100 100
#Xmin,Xmax,Ymin,Ymax
0.000000 123.400000 0.000000 134.500000
#\Delta t_fperiod between neighoring frames
0.010000
#frame number n (t=n\Delta t)
15
#I,J,P,Ux,Uy
0 0 1294.238842 0.000000 -0.000000
0 1 1294.001342 0.000000 -0.034460
0 2 1293.292585 0.000000 -0.068784
0 3 1292.123751 0.000000 -0.102837
0 4 1290.513271 0.000000 -0.136484
0 5 1288.486545 0.000000 -0.169592
0 6 1286.075534 0.000000 -0.202031
0 7 1283.318263 0.000000 -0.233673
0 8 1280.258214 0.000000 -0.264392
0 9 1276.943647 0.000000 -0.294068
0 10 1273.426834 0.000000 -0.322583
0 11 1269.763238 0.000000 -0.349826
0 12 1266.010635 0.000000 -0.375687
0 13 1262.228207 0.000000 -0.400066
0 14 1258.475604 0.000000 -0.422867
0 15 1254.812008 0.000000 -0.443998
0 16 1251.295195 0.000000 -0.463377
0 17 1247.980628 0.000000 -0.480927
0 18 1244.920580 0.000000 -0.496580
0 19 1242.163308 0.000000 -0.510272
0 20 1239.752298 0.000000 -0.521951
0 21 1237.725571 0.000000 -0.531570
0 22 1236.115092 0.000000 -0.539091
0 23 1234.946257 0.000000 -0.544484
0 24 1234.237501 0.000000 -0.547729
0 25 1234.000000 0.000000 -0.548812
0 26 1234.237501 -0.000000 -0.547729
0 27 1234.946257 -0.000000 -0.544484
0 28 1236.115092 -0.000000 -0.539091
0 29 1237.725571 -0.000000 -0.531570
0 30 1239.752298 -0.000000 -0.521951
0 31 1242.163308 -0.000000 -0.510272
0 32 1244.920580 -0.000000 -0.496580
0 33 1247.980628 -0.000000 -0.480927
0 34 1251.295195 -0.000000 -0.463377
0 35 1254.812008 -0.000000 -0.443998
0 36 1258.475604 -0.000000 -0.422867
0 37 1262.228207 -0.000000 -0.400066
0 38 1266.010635 -0.000000 -0.375687
0 39 1269.763238 -0.000000 -0.349826
0 40 1273.426834 -0.000000 -0.322583
0 41 1276.943647 -0.000000 -0.294068
0 42 1280.258214 -0.000000 -0.264392
0 43 1283.318263 -0.000000 -0.233673
0 44 1286.075534 -0.000000 -0.202031
0 45 1288.486545 -0.000000 -0.169592
0 46 1290.513271 -0.000000 -0.136484
0 47 1292.123751 -0.000000 -0.102837
0 48 1293.292585 -0.000000 -0.068784
0 49 1294.001342 -0.000000 -0.034460
0 50 1294.238842 -0.000000 -0.000000
0 51 1294.001342 -0.000000 0.034460
0 52 1293.292585 -0.000000 0.068784
0 53 1292.123751 -0.000000 0.102837
0 54 1290.513271 -0.000000 0.136484
0 55 1288.486545 -0.000000 0.169592
0 56 1286.075534 -0.000000 0.202031
0 57 1283.318263 -0.000000 0.233673
0 58 1280.258214 -0.000000 0.264392
0 59 1276.943647 -0.000000 0.294068
0 60 1273.426834 -0.000000 0.322583
0 61 1269.763238 -0.000000 0.349826
0 62 1266.010635 -0.000000 0.375687
0 63 1262.228207 -0.000000 0.400066
0 64 1258.475604 -0.000000 0.422867
0 65 1254.812008 -0.000000 0.443998
0 66 1251.295195 -0.000000 0.463377
0 67 1247.980628 -0.000000 0.480927
0 68 1244.920580 -0.000000 0.496580
0 69 1242.163308 -0.000000 0.510272
0 70 1239.752298 -0.000000 0.521951
0 71 1237.725571 -0.000000 0.531570
0 72 1236.115092 -0.000000 0.539091
0 73 1234.946257 -0.000000 0.544484
0 74 1234.237501 -0.000000 0.547729
0 75 1234.000000 -0.000000 0.548812
0 76 1234.237501 0.000000 0.547729
0 77 1234.946257 0.000000 0.544484
0 78 1236.115092 0.000000 0.539091
0 79 1237.725571 0.000000 0.531570
0 80 1239.752298 0.000000 0.521951
0 81 1242.163308 0.000000 0.510272
0 82 1244.920580 0.000000 0.496580
0 83 1247.980628 0.000000 0.480927
0 84 1251.295195 0.000000 0.463377
0 85 1254.812008 0.000000 0.443998
0 86 1258.475604 0.000000 0.422867
0 87 1262.228207 0.000000 0.400066
0 88 1266.010635 0.000000 0.375687
0 89 1269.763238 0.000000 0.349826
0 90 1273.426834 0.000000 0.322583
0 91 1276.943647 0.000000 0.294068
0 92 1280.258214 0.000000 0.264392
0 93 1283.318263 0.000000 0.233673
0 94 1286.075534 0.000000 0.202031
0 95 1288.486545 0.000000 0.169592
0 96 1290.513271 0.000000 0.136484
0 97 1292.123751 0.000000 0.102837
0 98 1293.292585 0.000000 0.068784
0 99 1294.001342 0.000000 0.034460
0 100 1294.238842 0.000000 0.000000
1 0 1294.001342 0.034460 -0.000000
1 1 1293.763841 0.034392 -0.034392
1 2 1293.055085 0.034188 -0.068649
1 3 1291.886250 0.033850 -0.102634
1 4 1290.275771 0.033378 -0.136215
1 5 1288.249044 0.032774 -0.169257
1 6 1285.838034 0.032040 -0.201632
1 7 1283.080762 0.031180 -0.233212
1 8 1280.020713 0.030198 -0.263870
1 9 1276.706146 0.029096 -0.293488
1 10 1273.189334 0.027879 -0.321947
1 11 1269.525737 0.026552 -0.349135
1 12 1265.773135 0.025120 -0.374946
1 13 1261.990706 0.023590 -0.399277
1 14 1258.238104 0.021966 -0.422032
1 15 1254.574508 0.020255 -0.443122
1 16 1251.057695 0.018465 -0.462463
1 17 1247.743128 0.016601 -0.479978
1 18 1244.683079 0.014672 -0.495600
1 19 1241.925807 0.012686 -0.509265
1 20 1239.514797 0.010649 -0.520921
1 21 1237.488071 0.008570 -0.530521
1 22 1235.877591 0.006457 -0.538027
1 23 1234.708756 0.004319 -0.543410
1 24 1234.000000 0.002164 -0.546648
1 25 1233.762499 0.000000 -0.547729
1 26 1234.000000 -0.002164 -0.546648
1 27 1234.708756 -0.004319 -0.543410
1 28 1235.877591 -0.006457 -0.538027
1 29 1237.488071 -0.008570 -0.530521
1 30 1239.514797 -0.010649 -0.520921
1 31 1241.925807 -0.012686 -0.509265
1 32 1244.683079 -0.014672 -0.495600
1 33 1247.743128 -0.016601 -0.479978
1 34 1251.057695 -0.018465 -0.462463
1 35 1254.574508 -0.020255 -0.443122
1 36 1258.238104 -0.021966 -0.422032
1 37 1261.990706 -0.023590 -0.399277
1 38 1265.773135 -0.025120 -0.374946
1 39 1269.525737 -0.026552 -0.349135
1 40 1273.189334 -0.027879 -0.321947
1 41 1276.706146 -0.029096 -0.293488
1 42 1280.020713 -0.030198 -0.263870
1 43 1283.080762 -0.031180 -0.233212
1 44 1285.838034 -0.032040 -0.201632
1 45 1288.249044 -0.032774 -0.169257
1 46 1290.275771 -0.033378 -0.136215
1 47 1291.886250 -0.033850 -0.102634
1 48 1293.055085 -0.034188 -0.068649
1 49 1293.763841 -0.034392 -0.034392
1 50 1294.001342 -0.034460 -0.000000
1 51 1293.763841 -0.034392 0.034392
1 52 1293.055085 -0.034188 0.068649
1 53 1291.886250 -0.033850 0.102634
1 54 1290.275771 -0.033378 0.136215
1 55 1288.249044 -0.032774 0.169257
1 56 1285.838034 -0.032040 0.201632
1 57 1283.080762 -0.031180 0.233212
1 58 1280.020713 -0.030198 0.263870
1 59 1276.706146 -0.029096 0.293488
1 60 1273.189334 -0.027879 0.321947
1 61 1269.525737 -0.026552 0.349135
1 62 1265.773135 -0.025120 0.374946
1 63 1261.990706 -0.023590 0.399277
1 64 1258.238104 -0.021966 0.422032
1 65 1254.574508 -0.020255 0.443122
1 66 1251.057695 -0.018465 0.462463
1 67 1247.743128 -0.016601 0.479978
1 68 1244.683079 -0.014672 0.495600
