#dimension
2
#Nx,Ny
100 100
#Xmin,Xmax,Ymin,Ymax
0.000000 123.400000 0.000000 134.500000
#\Delta t_fperiod between neighoring frames
0.010000
#frame number n (t=n\Delta t)
13
#I,J,P,Ux,Uy
0 0 1304.690936 0.000000 -0.000000
0 1 1304.412227 0.000000 -0.037330
0 2 1303.580494 0.000000 -0.074513
0 3 1302.208853 0.000000 -0.111402
0 4 1300.318938 0.000000 -0.147851
0 5 1297.940553 0.000000 -0.183717
0 6 1295.111206 0.000000 -0.218858
0 7 1291.875518 0.000000 -0.253135
0 8 1288.284517 0.000000 -0.286412
0 9 1284.394837 0.000000 -0.318560
0 10 1280.267819 0.000000 -0.349450
0 11 1275.968548 0.000000 -0.378962
0 12 1271.564829 0.000000 -0.406977
0 13 1267.126108 0.000000 -0.433387
0 14 1262.722388 0.000000 -0.458086
0 15 1258.423118 0.000000 -0.480977
0 16 1254.296100 0.000000 -0.501970
0 17 1250.406419 0.000000 -0.520982
0 18 1246.815419 0.000000 -0.537938
0 19 1243.579731 0.000000 -0.552771
0 20 1240.750384 0.000000 -0.565423
0 21 1238.371998 0.000000 -0.575843
0 22 1236.482083 0.000000 -0.583990
0 23 1235.110443 0.000000 -0.589833
0 24 1234.278710 0.000000 -0.593347
0 25 1234.000000 0.000000 -0.594521
0 26 1234.278710 -0.000000 -0.593347
0 27 1235.110443 -0.000000 -0.589833
0 28 1236.482083 -0.000000 -0.583990
0 29 1238.371998 -0.000000 -0.575843
0 30 1240.750384 -0.000000 -0.565423
0 31 1243.579731 -0.000000 -0.552771
0 32 1246.815419 -0.000000 -0.537938
0 33 1250.406419 -0.000000 -0.520982
0 34 1254.296100 -0.000000 -0.501970
0 35 1258.423118 -0.000000 -0.480977
0 36 1262.722388 -0.000000 -0.458086
0 37 1267.126108 -0.000000 -0.433387
0 38 1271.564829 -0.000000 -0.406977
0 39 1275.968548 -0.000000 -0.378962
0 40 1280.267819 -0.000000 -0.349450
0 41 1284.394837 -0.000000 -0.318560
0 42 1288.284517 -0.000000 -0.286412
0 43 1291.875518 -0.000000 -0.253135
0 44 1295.111206 -0.000000 -0.218858
0 45 1297.940553 -0.000000 -0.183717
0 46 1300.318938 -0.000000 -0.147851
0 47 1302.208853 -0.000000 -0.111402
0 48 1303.580494 -0.000000 -0.074513
0 49 1304.412227 -0.000000 -0.037330
0 50 1304.690936 -0.000000 -0.000000
0 51 1304.412227 -0.000000 0.037330
0 52 1303.580494 -0.000000 0.074513
0 53 1302.208853 -0.000000 0.111402
0 54 1300.318938 -0.000000 0.147851
0 55 1297.940553 -0.000000 0.183717
0 56 1295.111206 -0.000000 0.218858
0 57 1291.875518 -0.000000 0.253135
0 58 1288.284517 -0.000000 0.286412
0 59 1284.394837 -0.000000 0.318560
0 60 1280.267819 -0.000000 0.349450
0 61 1275.968548 -0.000000 0.378962
0 62 1271.564829 -0.000000 0.406977
0 63 1267.126108 -0.000000 0.433387
0 64 1262.722388 -0.000000 0.458086
0 65 1258.423118 -0.000000 0.480977
0 66 1254.296100 -0.000000 0.501970
0 67 1250.406419 -0.000000 0.520982
0 68 1246.815419 -0.000000 0.537938
0 69 1243.579731 -0.000000 0.552771
0 70 1240.750384 -0.000000 0.565423
0 71 1238.371998 -0.000000 0.575843
0 72 1236.482083 -0.000000 0.583990
0 73 1235.110443 -0.000000 0.589833
0 74 1234.278710 -0.000000 0.593347
0 75 1234.000000 -0.000000 0.594521
0 76 1234.278710 0.000000 0.593347
0 77 1235.110443 0.000000 0.589833
0 78 1236.482083 0.000000 0.583990
0 79 1238.371998 0.000000 0.575843
0 80 1240.750384 0.000000 0.565423
0 81 1243.579731 0.000000 0.552771
0 82 1246.815419 0.000000 0.537938
0 83 1250.406419 0.000000 0.520982
