#dimension
2
#Nx,Ny
100 100
#Xmin,Xmax,Ymin,Ymax
0.000000 123.400000 0.000000 134.500000
#\Delta t_fperiod between neighoring frames
0.010000
#frame number n (t=n\Delta t)
11
#I,J,P,Ux,Uy
0 0 1316.956582 0.000000 -0.000000
0 1 1316.629514 0.000000 -0.040439
0 2 1315.653466 0.000000 -0.080719
0 3 1314.043831 0.000000 -0.120680
0 4 1311.825995 0.000000 -0.160165
0 5 1309.034934 0.000000 -0.199018
0 6 1305.714664 0.000000 -0.237086
0 7 1301.917549 0.000000 -0.274217
0 8 1297.703471 0.000000 -0.310267
0 9 1293.138889 0.000000 -0.345092
0 10 1288.295788 0.000000 -0.378555
0 11 1283.250548 0.000000 -0.410524
0 12 1278.082735 0.000000 -0.440873
0 13 1272.873848 0.000000 -0.469482
0 14 1267.706034 0.000000 -0.496239
0 15 1262.660794 0.000000 -0.521036
0 16 1257.817694 0.000000 -0.543778
0 17 1253.253111 0.000000 -0.564373
0 18 1249.039033 0.000000 -0.582742
0 19 1245.241918 0.000000 -0.598810
0 20 1241.921649 0.000000 -0.612515
0 21 1239.130588 0.000000 -0.623803
0 22 1236.912751 0.000000 -0.632629
0 23 1235.303117 0.000000 -0.638958
0 24 1234.327069 0.000000 -0.642766
0 25 1234.000000 0.000000 -0.644036
0 26 1234.327069 -0.000000 -0.642766
0 27 1235.303117 -0.000000 -0.638958
0 28 1236.912751 -0.000000 -0.632629
0 29 1239.130588 -0.000000 -0.623803
0 30 1241.921649 -0.000000 -0.612515
0 31 1245.241918 -0.000000 -0.598810
0 32 1249.039033 -0.000000 -0.582742
0 33 1253.253111 -0.000000 -0.564373
0 34 1257.817694 -0.000000 -0.543778
0 35 1262.660794 -0.000000 -0.521036
0 36 1267.706034 -0.000000 -0.496239
0 37 1272.873848 -0.000000 -0.469482
0 38 1278.082735 -0.000000 -0.440873
0 39 1283.250548 -0.000000 -0.410524
0 40 1288.295788 -0.000000 -0.378555
0 41 1293.138889 -0.000000 -0.345092
0 42 1297.703471 -0.000000 -0.310267
0 43 1301.917549 -0.000000 -0.274217
0 44 1305.714664 -0.000000 -0.237086
0 45 1309.034934 -0.000000 -0.199018
0 46 1311.825995 -0.000000 -0.160165
0 47 1314.043831 -0.000000 -0.120680
0 48 1315.653466 -0.000000 -0.080719
0 49 1316.629514 -0.000000 -0.040439
0 50 1316.956582 -0.000000 -0.000000
0 51 1316.629514 -0.000000 0.040439
0 52 1315.653466 -0.000000 0.080719
0 53 1314.043831 -0.000000 0.120680
0 54 1311.825995 -0.000000 0.160165
0 55 1309.034934 -0.000000 0.199018
0 56 1305.714664 -0.000000 0.237086
0 57 1301.917549 -0.000000 0.274217
0 58 1297.703471 -0.000000 0.310267
0 59 1293.138889 -0.000000 0.345092
0 60 1288.295788 -0.000000 0.378555
0 61 1283.250548 -0.000000 0.410524
0 62 1278.082735 -0.000000 0.440873
0 63 1272.873848 -0.000000 0.469482
0 64 1267.706034 -0.000000 0.496239
0 65 1262.660794 -0.000000 0.521036
0 66 1257.817694 -0.000000 0.543778
0 67 1253.253111 -0.000000 0.564373
0 68 1249.039033 -0.000000 0.582742
0 69 1245.241918 -0.000000 0.598810
0 70 1241.921649 -0.000000 0.612515
0 71 1239.130588 -0.000000 0.623803
0 72 1236.912751 -0.000000 0.632629
0 73 1235.303117 -0.000000 0.638958
0 74 1234.327069 -0.000000 0.642766
0 75 1234.000000 -0.000000 0.644036
0 76 1234.327069 0.000000 0.642766
0 77 1235.303117 0.000000 0.638958
0 78 1236.912751 0.000000 0.632629
0 79 1239.130588 0.000000 0.623803
0 80 1241.921649 0.000000 0.612515
0 81 1245.241918 0.000000 0.598810
0 82 1249.039033 0.000000 0.582742
