#dimension
2
#Nx,Ny
100 100
#Xmin,Xmax,Ymin,Ymax
0.000000 123.400000 0.000000 134.500000
#\Delta t_fperiod between neighoring frames
0.010000
#frame number n (t=n\Delta t)
12
#I,J,P,Ux,Uy
0 0 1310.578577 0.000000 -0.000000
0 1 1310.276655 0.000000 -0.038854
0 2 1309.375649 0.000000 -0.077554
0 3 1307.889769 0.000000 -0.115948
0 4 1305.842448 0.000000 -0.153885
0 5 1303.265974 0.000000 -0.191215
0 6 1300.200979 0.000000 -0.227789
0 7 1296.695800 0.000000 -0.263465
0 8 1292.805715 0.000000 -0.298101
0 9 1288.592075 0.000000 -0.331561
0 10 1284.121329 0.000000 -0.363712
0 11 1279.463986 0.000000 -0.394427
0 12 1274.693493 0.000000 -0.423586
0 13 1269.885084 0.000000 -0.451074
0 14 1265.114591 0.000000 -0.476781
0 15 1260.457248 0.000000 -0.500606
0 16 1255.986502 0.000000 -0.522456
0 17 1251.772862 0.000000 -0.542244
0 18 1247.882777 0.000000 -0.559892
0 19 1244.377598 0.000000 -0.575330
0 20 1241.312603 0.000000 -0.588498
0 21 1238.736129 0.000000 -0.599343
0 22 1236.688808 0.000000 -0.607823
0 23 1235.202928 0.000000 -0.613904
0 24 1234.301922 0.000000 -0.617562
0 25 1234.000000 0.000000 -0.618783
0 26 1234.301922 -0.000000 -0.617562
0 27 1235.202928 -0.000000 -0.613904
0 28 1236.688808 -0.000000 -0.607823
0 29 1238.736129 -0.000000 -0.599343
0 30 1241.312603 -0.000000 -0.588498
0 31 1244.377598 -0.000000 -0.575330
0 32 1247.882777 -0.000000 -0.559892
0 33 1251.772862 -0.000000 -0.542244
0 34 1255.986502 -0.000000 -0.522456
0 35 1260.457248 -0.000000 -0.500606
0 36 1265.114591 -0.000000 -0.476781
0 37 1269.885084 -0.000000 -0.451074
0 38 1274.693493 -0.000000 -0.423586
0 39 1279.463986 -0.000000 -0.394427
0 40 1284.121329 -0.000000 -0.363712
0 41 1288.592075 -0.000000 -0.331561
0 42 1292.805715 -0.000000 -0.298101
0 43 1296.695800 -0.000000 -0.263465
0 44 1300.200979 -0.000000 -0.227789
0 45 1303.265974 -0.000000 -0.191215
0 46 1305.842448 -0.000000 -0.153885
0 47 1307.889769 -0.000000 -0.115948
0 48 1309.375649 -0.000000 -0.077554
0 49 1310.276655 -0.000000 -0.038854
0 50 1310.578577 -0.000000 -0.000000
0 51 1310.276655 -0.000000 0.038854
0 52 1309.375649 -0.000000 0.077554
0 53 1307.889769 -0.000000 0.115948
0 54 1305.842448 -0.000000 0.153885
0 55 1303.265974 -0.000000 0.191215
0 56 1300.200979 -0.000000 0.227789
0 57 1296.695800 -0.000000 0.263465
0 58 1292.805715 -0.000000 0.298101
0 59 1288.592075 -0.000000 0.331561
0 60 1284.121329 -0.000000 0.363712
0 61 1279.463986 -0.000000 0.394427
0 62 1274.693493 -0.000000 0.423586
0 63 1269.885084 -0.000000 0.451074
0 64 1265.114591 -0.000000 0.476781
0 65 1260.457248 -0.000000 0.500606
0 66 1255.986502 -0.000000 0.522456
0 67 1251.772862 -0.000000 0.542244
0 68 1247.882777 -0.000000 0.559892
0 69 1244.377598 -0.000000 0.575330
0 70 1241.312603 -0.000000 0.588498
0 71 1238.736129 -0.000000 0.599343
0 72 1236.688808 -0.000000 0.607823
0 73 1235.202928 -0.000000 0.613904
0 74 1234.301922 -0.000000 0.617562
0 75 1234.000000 -0.000000 0.618783
0 76 1234.301922 0.000000 0.617562
0 77 1235.202928 0.000000 0.613904
0 78 1236.688808 0.000000 0.607823
0 79 1238.736129 0.000000 0.599343
0 80 1241.312603 0.000000 0.588498
0 81 1244.377598 0.000000 0.575330
0 82 1247.882777 0.000000 0.559892
0 83 1251.772862 0.000000 0.542244
0 84 1255.986502 0.000000 0.522456
0 85 1260.457248 0.000000 0.500606
0 86 1265.114591 0.000000 0.476781
0 87 1269.885084 0.000000 0.451074
0 88 1274.693493 0.000000 0.423586
0 89 1279.463986 0.000000 0.394427
0 90 1284.121329 0.000000 0.363712
0 91 1288.592075 0.000000 0.331561
0 92 1292.805715 0.000000 0.298101
0 93 1296.695800 0.000000 0.263465
0 94 1300.200979 0.000000 0.227789
0 95 1303.265974 0.000000 0.191215
0 96 1305.842448 0.000000 0.153885
0 97 1307.889769 0.000000 0.115948
0 98 1309.375649 0.000000 0.077554
0 99 1310.276655 0.000000 0.038854
0 100 1310.578577 0.000000 0.000000
1 0 1310.276655 0.038854 -0.000000
1 1 1309.974732 0.038777 -0.038777
1 2 1309.073726 0.038547 -0.077401
1 3 1307.587846 0.038166 -0.115720
1 4 1305.540525 0.037633 -0.153582
1 5 1302.964051 0.036952 -0.190837
1 6 1299.899056 0.036125 -0.227340
