#dimension
2
#Nx,Ny
100 100
#Xmin,Xmax,Ymin,Ymax
0.000000 123.400000 0.000000 134.500000
#\Delta t_fperiod between neighoring frames
0.010000
#frame number n (t=n\Delta t)
9
#I,J,P,Ux,Uy
0 0 1331.350451 0.000000 -0.000000
0 1 1330.966632 0.000000 -0.043807
0 2 1329.821229 0.000000 -0.087442
0 3 1327.932306 0.000000 -0.130732
0 4 1325.329651 0.000000 -0.173505
0 5 1322.054310 0.000000 -0.215594
0 6 1318.157938 0.000000 -0.256832
0 7 1313.701982 0.000000 -0.297056
0 8 1308.756716 0.000000 -0.336108
0 9 1303.400129 0.000000 -0.373834
0 10 1297.716698 0.000000 -0.410084
0 11 1291.796053 0.000000 -0.444716
0 12 1285.731568 0.000000 -0.477592
0 13 1279.618883 0.000000 -0.508584
0 14 1273.554398 0.000000 -0.537569
0 15 1267.633754 0.000000 -0.564432
0 16 1261.950323 0.000000 -0.589068
0 17 1256.593735 0.000000 -0.611378
0 18 1251.648469 0.000000 -0.631276
0 19 1247.192513 0.000000 -0.648683
0 20 1243.296141 0.000000 -0.663530
0 21 1240.020800 0.000000 -0.675758
0 22 1237.418145 0.000000 -0.685319
0 23 1235.529222 0.000000 -0.692175
0 24 1234.383819 0.000000 -0.696300
0 25 1234.000000 0.000000 -0.697676
0 26 1234.383819 -0.000000 -0.696300
0 27 1235.529222 -0.000000 -0.692175
0 28 1237.418145 -0.000000 -0.685319
0 29 1240.020800 -0.000000 -0.675758
0 30 1243.296141 -0.000000 -0.663530
0 31 1247.192513 -0.000000 -0.648683
0 32 1251.648469 -0.000000 -0.631276
0 33 1256.593735 -0.000000 -0.611378
0 34 1261.950323 -0.000000 -0.589068
0 35 1267.633754 -0.000000 -0.564432
0 36 1273.554398 -0.000000 -0.537569
0 37 1279.618883 -0.000000 -0.508584
0 38 1285.731568 -0.000000 -0.477592
0 39 1291.796053 -0.000000 -0.444716
0 40 1297.716698 -0.000000 -0.410084
0 41 1303.400129 -0.000000 -0.373834
0 42 1308.756716 -0.000000 -0.336108
0 43 1313.701982 -0.000000 -0.297056
0 44 1318.157938 -0.000000 -0.256832
0 45 1322.054310 -0.000000 -0.215594
0 46 1325.329651 -0.000000 -0.173505
0 47 1327.932306 -0.000000 -0.130732
0 48 1329.821229 -0.000000 -0.087442
0 49 1330.966632 -0.000000 -0.043807
0 50 1331.350451 -0.000000 -0.000000
0 51 1330.966632 -0.000000 0.043807
0 52 1329.821229 -0.000000 0.087442
0 53 1327.932306 -0.000000 0.130732
0 54 1325.329651 -0.000000 0.173505
0 55 1322.054310 -0.000000 0.215594
0 56 1318.157938 -0.000000 0.256832
0 57 1313.701982 -0.000000 0.297056
0 58 1308.756716 -0.000000 0.336108
0 59 1303.400129 -0.000000 0.373834
0 60 1297.716698 -0.000000 0.410084
0 61 1291.796053 -0.000000 0.444716
0 62 1285.731568 -0.000000 0.477592
0 63 1279.618883 -0.000000 0.508584
0 64 1273.554398 -0.000000 0.537569
0 65 1267.633754 -0.000000 0.564432
0 66 1261.950323 -0.000000 0.589068
0 67 1256.593735 -0.000000 0.611378
0 68 1251.648469 -0.000000 0.631276
0 69 1247.192513 -0.000000 0.648683
0 70 1243.296141 -0.000000 0.663530
0 71 1240.020800 -0.000000 0.675758
0 72 1237.418145 -0.000000 0.685319
0 73 1235.529222 -0.000000 0.692175
0 74 1234.383819 -0.000000 0.696300
0 75 1234.000000 -0.000000 0.697676
0 76 1234.383819 0.000000 0.696300
0 77 1235.529222 0.000000 0.692175
0 78 1237.418145 0.000000 0.685319
0 79 1240.020800 0.000000 0.675758
0 80 1243.296141 0.000000 0.663530
0 81 1247.192513 0.000000 0.648683
0 82 1251.648469 0.000000 0.631276
0 83 1256.593735 0.000000 0.611378
0 84 1261.950323 0.000000 0.589068
0 85 1267.633754 0.000000 0.564432
0 86 1273.554398 0.000000 0.537569
0 87 1279.618883 0.000000 0.508584
0 88 1285.731568 0.000000 0.477592
0 89 1291.796053 0.000000 0.444716
0 90 1297.716698 0.000000 0.410084
0 91 1303.400129 0.000000 0.373834
0 92 1308.756716 0.000000 0.336108
0 93 1313.701982 0.000000 0.297056
0 94 1318.157938 0.000000 0.256832
0 95 1322.054310 0.000000 0.215594
0 96 1325.329651 0.000000 0.173505
0 97 1327.932306 0.000000 0.130732
0 98 1329.821229 0.000000 0.087442
0 99 1330.966632 0.000000 0.043807
0 100 1331.350451 0.000000 0.000000
1 0 1330.966632 0.043807 -0.000000
1 1 1330.582814 0.043721 -0.043721
1 2 1329.437411 0.043462 -0.087269
1 3 1327.548487 0.043032 -0.130474
1 4 1324.945832 0.042431 -0.173163
1 5 1321.670492 0.041663 -0.215168
1 6 1317.774119 0.040731 -0.256325
1 7 1313.318163 0.039638 -0.296470
1 8 1308.372897 0.038389 -0.335445
1 9 1303.016310 0.036988 -0.373096
1 10 1297.332879 0.035441 -0.409275
1 11 1291.412235 0.033754 -0.443838
1 12 1285.347750 0.031934 -0.476650
1 13 1279.235064 0.029988 -0.507581
1 14 1273.170579 0.027924 -0.536508
1 15 1267.249935 0.025749 -0.563318
1 16 1261.566504 0.023473 -0.587905
1 17 1256.209917 0.021104 -0.610172
1 18 1251.264650 0.018652 -0.630031
1 19 1246.808695 0.016127 -0.647403
1 20 1242.912322 0.013537 -0.662220
1 21 1239.636982 0.010894 -0.674424
1 22 1237.034327 0.008209 -0.683966
1 23 1235.145403 0.005491 -0.690809
1 24 1234.000000 0.002751 -0.694926
1 25 1233.616181 0.000000 -0.696300
1 26 1234.000000 -0.002751 -0.694926
1 27 1235.145403 -0.005491 -0.690809
1 28 1237.034327 -0.008209 -0.683966
1 29 1239.636982 -0.010894 -0.674424
1 30 1242.912322 -0.013537 -0.662220
1 31 1246.808695 -0.016127 -0.647403
1 32 1251.264650 -0.018652 -0.630031
1 33 1256.209917 -0.021104 -0.610172
1 34 1261.566504 -0.023473 -0.587905
1 35 1267.249935 -0.025749 -0.563318
1 36 1273.170579 -0.027924 -0.536508
1 37 1279.235064 -0.029988 -0.507581
