#dimension
2
#Nx,Ny
100 100
#Xmin,Xmax,Ymin,Ymax
0.000000 123.400000 0.000000 134.500000
#\Delta t_fperiod between neighoring frames
0.010000
#frame number n (t=n\Delta t)
18
#I,J,P,Ux,Uy
0 0 1281.385552 0.000000 -0.000000
0 1 1281.198727 0.000000 -0.030563
0 2 1280.641200 0.000000 -0.061006
0 3 1279.721762 0.000000 -0.091208
0 4 1278.454914 0.000000 -0.121050
0 5 1276.860634 0.000000 -0.150415
0 6 1274.964066 0.000000 -0.179185
0 7 1272.795120 0.000000 -0.207249
0 8 1270.388000 0.000000 -0.234495
0 9 1267.780669 0.000000 -0.260815
0 10 1265.014246 0.000000 -0.286106
0 11 1262.132359 0.000000 -0.310268
0 12 1259.180458 0.000000 -0.333205
0 13 1256.205094 0.000000 -0.354827
0 14 1253.253192 0.000000 -0.375049
0 15 1250.371305 0.000000 -0.393791
0 16 1247.604883 0.000000 -0.410979
0 17 1244.997552 0.000000 -0.426544
0 18 1242.590432 0.000000 -0.440427
0 19 1240.421486 0.000000 -0.452571
0 20 1238.524918 0.000000 -0.462929
0 21 1236.930638 0.000000 -0.471460
0 22 1235.663790 0.000000 -0.478131
0 23 1234.744352 0.000000 -0.482914
0 24 1234.186825 0.000000 -0.485792
0 25 1234.000000 0.000000 -0.486752
0 26 1234.186825 -0.000000 -0.485792
0 27 1234.744352 -0.000000 -0.482914
0 28 1235.663790 -0.000000 -0.478131
0 29 1236.930638 -0.000000 -0.471460
0 30 1238.524918 -0.000000 -0.462929
0 31 1240.421486 -0.000000 -0.452571
0 32 1242.590432 -0.000000 -0.440427
0 33 1244.997552 -0.000000 -0.426544
0 34 1247.604883 -0.000000 -0.410979
0 35 1250.371305 -0.000000 -0.393791
0 36 1253.253192 -0.000000 -0.375049
0 37 1256.205094 -0.000000 -0.354827
0 38 1259.180458 -0.000000 -0.333205
0 39 1262.132359 -0.000000 -0.310268
0 40 1265.014246 -0.000000 -0.286106
0 41 1267.780669 -0.000000 -0.260815
0 42 1270.388000 -0.000000 -0.234495
0 43 1272.795120 -0.000000 -0.207249
0 44 1274.964066 -0.000000 -0.179185
0 45 1276.860634 -0.000000 -0.150415
0 46 1278.454914 -0.000000 -0.121050
0 47 1279.721762 -0.000000 -0.091208
0 48 1280.641200 -0.000000 -0.061006
0 49 1281.198727 -0.000000 -0.030563
0 50 1281.385552 -0.000000 -0.000000
0 51 1281.198727 -0.000000 0.030563
0 52 1280.641200 -0.000000 0.061006
0 53 1279.721762 -0.000000 0.091208
0 54 1278.454914 -0.000000 0.121050
0 55 1276.860634 -0.000000 0.150415
0 56 1274.964066 -0.000000 0.179185
0 57 1272.795120 -0.000000 0.207249
0 58 1270.388000 -0.000000 0.234495
0 59 1267.780669 -0.000000 0.260815
0 60 1265.014246 -0.000000 0.286106
0 61 1262.132359 -0.000000 0.310268
0 62 1259.180458 -0.000000 0.333205
