#dimension
2
#Nx,Ny
100 100
#Xmin,Xmax,Ymin,Ymax
0.000000 123.400000 0.000000 134.500000
#\Delta t_fperiod between neighoring frames
0.010000
#frame number n (t=n\Delta t)
6
#I,J,P,Ux,Uy
0 0 1357.756678 0.000000 -0.000000
0 1 1357.268749 0.000000 -0.049393
0 2 1355.812657 0.000000 -0.098591
0 3 1353.411364 0.000000 -0.147399
0 4 1350.102741 0.000000 -0.195626
0 5 1345.938967 0.000000 -0.243081
0 6 1340.985707 0.000000 -0.289577
0 7 1335.321077 0.000000 -0.334930
0 8 1329.034411 0.000000 -0.378961
0 9 1322.224855 0.000000 -0.421496
0 10 1314.999798 0.000000 -0.462368
0 11 1307.473184 0.000000 -0.501415
0 12 1299.763712 0.000000 -0.538484
0 13 1291.992966 0.000000 -0.573427
0 14 1284.283495 0.000000 -0.606107
0 15 1276.756881 0.000000 -0.636395
0 16 1269.531824 0.000000 -0.664172
0 17 1262.722267 0.000000 -0.689327
0 18 1256.435601 0.000000 -0.711762
0 19 1250.770971 0.000000 -0.731388
0 20 1245.817711 0.000000 -0.748128
0 21 1241.653937 0.000000 -0.761915
0 22 1238.345314 0.000000 -0.772695
0 23 1235.944022 0.000000 -0.780425
0 24 1234.487929 0.000000 -0.785076
0 25 1234.000000 0.000000 -0.786628
0 26 1234.487929 -0.000000 -0.785076
0 27 1235.944022 -0.000000 -0.780425
0 28 1238.345314 -0.000000 -0.772695
0 29 1241.653937 -0.000000 -0.761915
0 30 1245.817711 -0.000000 -0.748128
0 31 1250.770971 -0.000000 -0.731388
0 32 1256.435601 -0.000000 -0.711762
0 33 1262.722267 -0.000000 -0.689327
0 34 1269.531824 -0.000000 -0.664172
0 35 1276.756881 -0.000000 -0.636395
0 36 1284.283495 -0.000000 -0.606107
0 37 1291.992966 -0.000000 -0.573427
0 38 1299.763712 -0.000000 -0.538484
0 39 1307.473184 -0.000000 -0.501415
0 40 1314.999798 -0.000000 -0.462368
0 41 1322.224855 -0.000000 -0.421496
0 42 1329.034411 -0.000000 -0.378961
0 43 1335.321077 -0.000000 -0.334930
0 44 1340.985707 -0.000000 -0.289577
0 45 1345.938967 -0.000000 -0.243081
0 46 1350.102741 -0.000000 -0.195626
0 47 1353.411364 -0.000000 -0.147399
0 48 1355.812657 -0.000000 -0.098591
0 49 1357.268749 -0.000000 -0.049393
0 50 1357.756678 -0.000000 -0.000000
0 51 1357.268749 -0.000000 0.049393
0 52 1355.812657 -0.000000 0.098591
0 53 1353.411364 -0.000000 0.147399
0 54 1350.102741 -0.000000 0.195626
0 55 1345.938967 -0.000000 0.243081
0 56 1340.985707 -0.000000 0.289577
0 57 1335.321077 -0.000000 0.334930
0 58 1329.034411 -0.000000 0.378961
0 59 1322.224855 -0.000000 0.421496
0 60 1314.999798 -0.000000 0.462368
0 61 1307.473184 -0.000000 0.501415
0 62 1299.763712 -0.000000 0.538484
0 63 1291.992966 -0.000000 0.573427
0 64 1284.283495 -0.000000 0.606107
0 65 1276.756881 -0.000000 0.636395
0 66 1269.531824 -0.000000 0.664172
0 67 1262.722267 -0.000000 0.689327
0 68 1256.435601 -0.000000 0.711762
0 69 1250.770971 -0.000000 0.731388
0 70 1245.817711 -0.000000 0.748128
0 71 1241.653937 -0.000000 0.761915
0 72 1238.345314 -0.000000 0.772695
0 73 1235.944022 -0.000000 0.780425
0 74 1234.487929 -0.000000 0.785076
0 75 1234.000000 -0.000000 0.786628
0 76 1234.487929 0.000000 0.785076
0 77 1235.944022 0.000000 0.780425
0 78 1238.345314 0.000000 0.772695
0 79 1241.653937 0.000000 0.761915
0 80 1245.817711 0.000000 0.748128
0 81 1250.770971 0.000000 0.731388
0 82 1256.435601 0.000000 0.711762
0 83 1262.722267 0.000000 0.689327
0 84 1269.531824 0.000000 0.664172
0 85 1276.756881 0.000000 0.636395
0 86 1284.283495 0.000000 0.606107
0 87 1291.992966 0.000000 0.573427
0 88 1299.763712 0.000000 0.538484
0 89 1307.473184 0.000000 0.501415
0 90 1314.999798 0.000000 0.462368
0 91 1322.224855 0.000000 0.421496
0 92 1329.034411 0.000000 0.378961
0 93 1335.321077 0.000000 0.334930
0 94 1340.985707 0.000000 0.289577
0 95 1345.938967 0.000000 0.243081
0 96 1350.102741 0.000000 0.195626
0 97 1353.411364 0.000000 0.147399
0 98 1355.812657 0.000000 0.098591
0 99 1357.268749 0.000000 0.049393
0 100 1357.756678 0.000000 0.000000
1 0 1357.268749 0.049393 -0.000000
1 1 1356.780820 0.049295 -0.049295
1 2 1355.324727 0.049003 -0.098396
1 3 1352.923435 0.048518 -0.147109
1 4 1349.614812 0.047841 -0.195240
1 5 1345.451038 0.046975 -0.242602
1 6 1340.497778 0.045924 -0.289006
1 7 1334.833148 0.044692 -0.334269
1 8 1328.546482 0.043283 -0.378213
1 9 1321.736925 0.041704 -0.420665
1 10 1314.511868 0.039960 -0.461456
1 11 1306.985255 0.038058 -0.500426
1 12 1299.275783 0.036006 -0.537421
1 13 1291.505037 0.033812 -0.572296
1 14 1283.795565 0.031484 -0.604911
1 15 1276.268952 0.029032 -0.635140
1 16 1269.043895 0.026466 -0.662861
1 17 1262.234338 0.023795 -0.687967
1 18 1255.947672 0.021030 -0.710358
1 19 1250.283042 0.018183 -0.729945
1 20 1245.329782 0.015263 -0.746651
1 21 1241.166008 0.012283 -0.760411
1 22 1237.857385 0.009255 -0.771170
1 23 1235.456093 0.006191 -0.778885
1 24 1234.000000 0.003101 -0.783526
1 25 1233.512071 0.000000 -0.785076
1 26 1234.000000 -0.003101 -0.783526
1 27 1235.456093 -0.006191 -0.778885
1 28 1237.857385 -0.009255 -0.771170
1 29 1241.166008 -0.012283 -0.760411
1 30 1245.329782 -0.015263 -0.746651
1 31 1250.283042 -0.018183 -0.729945
1 32 1255.947672 -0.021030 -0.710358
1 33 1262.234338 -0.023795 -0.687967
1 34 1269.043895 -0.026466 -0.662861
1 35 1276.268952 -0.029032 -0.635140
1 36 1283.795565 -0.031484 -0.604911
1 37 1291.505037 -0.033812 -0.572296
1 38 1299.275783 -0.036006 -0.537421
1 39 1306.985255 -0.038058 -0.500426
1 40 1314.511868 -0.039960 -0.461456
1 41 1321.736925 -0.041704 -0.420665
1 42 1328.546482 -0.043283 -0.378213
1 43 1334.833148 -0.044692 -0.334269
1 44 1340.497778 -0.045924 -0.289006
1 45 1345.451038 -0.046975 -0.242602
1 46 1349.614812 -0.047841 -0.195240
1 47 1352.923435 -0.048518 -0.147109
1 48 1355.324727 -0.049003 -0.098396
1 49 1356.780820 -0.049295 -0.049295
1 50 1357.268749 -0.049393 -0.000000
1 51 1356.780820 -0.049295 0.049295
1 52 1355.324727 -0.049003 0.098396
1 53 1352.923435 -0.048518 0.147109
1 54 1349.614812 -0.047841 0.195240
1 55 1345.451038 -0.046975 0.242602
1 56 1340.497778 -0.045924 0.289006
1 57 1334.833148 -0.044692 0.334269
1 58 1328.546482 -0.043283 0.378213
1 59 1321.736925 -0.041704 0.420665
1 60 1314.511868 -0.039960 0.461456
1 61 1306.985255 -0.038058 0.500426
1 62 1299.275783 -0.036006 0.537421
1 63 1291.505037 -0.033812 0.572296
1 64 1283.795565 -0.031484 0.604911
1 65 1276.268952 -0.029032 0.635140
1 66 1269.043895 -0.026466 0.662861
1 67 1262.234338 -0.023795 0.687967
1 68 1255.947672 -0.021030 0.710358
1 69 1250.283042 -0.018183 0.729945
1 70 1245.329782 -0.015263 0.746651
1 71 1241.166008 -0.012283 0.760411
1 72 1237.857385 -0.009255 0.771170
1 73 1235.456093 -0.006191 0.778885
1 74 1234.000000 -0.003101 0.783526
1 75 1233.512071 -0.000000 0.785076
1 76 1234.000000 0.003101 0.783526
1 77 1235.456093 0.006191 0.778885
1 78 1237.857385 0.009255 0.771170
1 79 1241.166008 0.012283 0.760411
1 80 1245.329782 0.015263 0.746651
1 81 1250.283042 0.018183 0.729945
1 82 1255.947672 0.021030 0.710358
1 83 1262.234338 0.023795 0.687967
1 84 1269.043895 0.026466 0.662861
1 85 1276.268952 0.029032 0.635140
1 86 1283.795565 0.031484 0.604911
1 87 1291.505037 0.033812 0.572296
1 88 1299.275783 0.036006 0.537421
1 89 1306.985255 0.038058 0.500426
1 90 1314.511868 0.039960 0.461456
1 91 1321.736925 0.041704 0.420665
1 92 1328.546482 0.043283 0.378213
1 93 1334.833148 0.044692 0.334269
1 94 1340.497778 0.045924 0.289006
1 95 1345.451038 0.046975 0.242602
1 96 1349.614812 0.047841 0.195240
1 97 1352.923435 0.048518 0.147109
1 98 1355.324727 0.049003 0.098396
1 99 1356.780820 0.049295 0.049295
1 100 1357.268749 0.049393 0.000000
2 0 1355.812657 0.098591 -0.000000
2 1 1355.324727 0.098396 -0.049003
2 2 1353.868635 0.097813 -0.097813
2 3 1351.467342 0.096844 -0.146237
2 4 1348.158719 0.095493 -0.194084
2 5 1343.994945 0.093765 -0.241165
2 6 1339.041685 0.091667 -0.287294
2 7 1333.377055 0.089207 -0.332289
2 8 1327.090390 0.086396 -0.375973
2 9 1320.280833 0.083243 -0.418173
2 10 1313.055776 0.079761 -0.458722
2 11 1305.529162 0.075965 -0.497462
2 12 1297.819690 0.071869 -0.534238
2 13 1290.048944 0.067490 -0.568905
2 14 1282.339473 0.062844 -0.601328
2 15 1274.812859 0.057950 -0.631377
2 16 1267.587802 0.052827 -0.658935
2 17 1260.778245 0.047496 -0.683892
2 18 1254.491580 0.041978 -0.706150
2 19 1248.826949 0.036294 -0.725621
2 20 1243.873689 0.030466 -0.742228
2 21 1239.709915 0.024518 -0.755907
2 22 1236.401293 0.018474 -0.766602
2 23 1234.000000 0.012357 -0.774271
2 24 1232.543907 0.006191 -0.778885
2 25 1232.055978 0.000000 -0.780425
2 26 1232.543907 -0.006191 -0.778885
2 27 1234.000000 -0.012357 -0.774271
2 28 1236.401293 -0.018474 -0.766602
2 29 1239.709915 -0.024518 -0.755907
2 30 1243.873689 -0.030466 -0.742228
2 31 1248.826949 -0.036294 -0.725621
2 32 1254.491580 -0.041978 -0.706150
2 33 1260.778245 -0.047496 -0.683892
2 34 1267.587802 -0.052827 -0.658935
2 35 1274.812859 -0.057950 -0.631377
2 36 1282.339473 -0.062844 -0.601328
2 37 1290.048944 -0.067490 -0.568905
2 38 1297.819690 -0.071869 -0.534238
2 39 1305.529162 -0.075965 -0.497462
2 40 1313.055776 -0.079761 -0.458722
2 41 1320.280833 -0.083243 -0.418173
2 42 1327.090390 -0.086396 -0.375973
2 43 1333.377055 -0.089207 -0.332289
2 44 1339.041685 -0.091667 -0.287294
2 45 1343.994945 -0.093765 -0.241165
2 46 1348.158719 -0.095493 -0.194084
2 47 1351.467342 -0.096844 -0.146237
2 48 1353.868635 -0.097813 -0.097813
2 49 1355.324727 -0.098396 -0.049003
2 50 1355.812657 -0.098591 -0.000000
2 51 1355.324727 -0.098396 0.049003
2 52 1353.868635 -0.097813 0.097813
2 53 1351.467342 -0.096844 0.146237
2 54 1348.158719 -0.095493 0.194084
2 55 1343.994945 -0.093765 0.241165
2 56 1339.041685 -0.091667 0.287294
