#dimension
2
#Nx,Ny
100 100
#Xmin,Xmax,Ymin,Ymax
0.000000 123.400000 0.000000 134.500000
#\Delta t_fperiod between neighoring frames
0.010000
#frame number n (t=n\Delta t)
10
#I,J,P,Ux,Uy
0 0 1323.865793 0.000000 -0.000000
0 1 1323.511484 0.000000 -0.042090
0 2 1322.454143 0.000000 -0.084013
0 3 1320.710447 0.000000 -0.125605
0 4 1318.307894 0.000000 -0.166702
0 5 1315.284373 0.000000 -0.207140
0 6 1311.687568 0.000000 -0.246761
0 7 1307.574203 0.000000 -0.285408
0 8 1303.009146 0.000000 -0.322929
0 9 1298.064393 0.000000 -0.359175
0 10 1292.817925 0.000000 -0.394004
0 11 1287.352482 0.000000 -0.427278
0 12 1281.754256 0.000000 -0.458866
0 13 1276.111537 0.000000 -0.488642
0 14 1270.513311 0.000000 -0.516490
0 15 1265.047868 0.000000 -0.542300
0 16 1259.801400 0.000000 -0.565970
0 17 1254.856647 0.000000 -0.587406
0 18 1250.291590 0.000000 -0.606524
0 19 1246.178225 0.000000 -0.623248
0 20 1242.581420 0.000000 -0.637512
0 21 1239.557899 0.000000 -0.649261
0 22 1237.155346 0.000000 -0.658447
0 23 1235.411650 0.000000 -0.665034
0 24 1234.354309 0.000000 -0.668997
0 25 1234.000000 0.000000 -0.670320
0 26 1234.354309 -0.000000 -0.668997
0 27 1235.411650 -0.000000 -0.665034
0 28 1237.155346 -0.000000 -0.658447
0 29 1239.557899 -0.000000 -0.649261
0 30 1242.581420 -0.000000 -0.637512
0 31 1246.178225 -0.000000 -0.623248
0 32 1250.291590 -0.000000 -0.606524
0 33 1254.856647 -0.000000 -0.587406
0 34 1259.801400 -0.000000 -0.565970
0 35 1265.047868 -0.000000 -0.542300
0 36 1270.513311 -0.000000 -0.516490
0 37 1276.111537 -0.000000 -0.488642
0 38 1281.754256 -0.000000 -0.458866
0 39 1287.352482 -0.000000 -0.427278
0 40 1292.817925 -0.000000 -0.394004
0 41 1298.064393 -0.000000 -0.359175
0 42 1303.009146 -0.000000 -0.322929
0 43 1307.574203 -0.000000 -0.285408
0 44 1311.687568 -0.000000 -0.246761
0 45 1315.284373 -0.000000 -0.207140
0 46 1318.307894 -0.000000 -0.166702
0 47 1320.710447 -0.000000 -0.125605
0 48 1322.454143 -0.000000 -0.084013
0 49 1323.511484 -0.000000 -0.042090
0 50 1323.865793 -0.000000 -0.000000
0 51 1323.511484 -0.000000 0.042090
0 52 1322.454143 -0.000000 0.084013
0 53 1320.710447 -0.000000 0.125605
0 54 1318.307894 -0.000000 0.166702
0 55 1315.284373 -0.000000 0.207140
0 56 1311.687568 -0.000000 0.246761
0 57 1307.574203 -0.000000 0.285408
0 58 1303.009146 -0.000000 0.322929
0 59 1298.064393 -0.000000 0.359175
0 60 1292.817925 -0.000000 0.394004
0 61 1287.352482 -0.000000 0.427278
0 62 1281.754256 -0.000000 0.458866
0 63 1276.111537 -0.000000 0.488642
0 64 1270.513311 -0.000000 0.516490
0 65 1265.047868 -0.000000 0.542300
0 66 1259.801400 -0.000000 0.565970
0 67 1254.856647 -0.000000 0.587406
0 68 1250.291590 -0.000000 0.606524
0 69 1246.178225 -0.000000 0.623248
0 70 1242.581420 -0.000000 0.637512
0 71 1239.557899 -0.000000 0.649261
0 72 1237.155346 -0.000000 0.658447
0 73 1235.411650 -0.000000 0.665034
0 74 1234.354309 -0.000000 0.668997
0 75 1234.000000 -0.000000 0.670320
0 76 1234.354309 0.000000 0.668997
0 77 1235.411650 0.000000 0.665034
0 78 1237.155346 0.000000 0.658447
0 79 1239.557899 0.000000 0.649261
0 80 1242.581420 0.000000 0.637512
0 81 1246.178225 0.000000 0.623248
0 82 1250.291590 0.000000 0.606524
0 83 1254.856647 0.000000 0.587406
0 84 1259.801400 0.000000 0.565970
0 85 1265.047868 0.000000 0.542300
0 86 1270.513311 0.000000 0.516490
0 87 1276.111537 0.000000 0.488642
0 88 1281.754256 0.000000 0.458866
0 89 1287.352482 0.000000 0.427278
0 90 1292.817925 0.000000 0.394004
0 91 1298.064393 0.000000 0.359175
0 92 1303.009146 0.000000 0.322929
0 93 1307.574203 0.000000 0.285408
0 94 1311.687568 0.000000 0.246761
0 95 1315.284373 0.000000 0.207140
0 96 1318.307894 0.000000 0.166702
0 97 1320.710447 0.000000 0.125605
0 98 1322.454143 0.000000 0.084013
0 99 1323.511484 0.000000 0.042090
0 100 1323.865793 0.000000 0.000000
1 0 1323.511484 0.042090 -0.000000
1 1 1323.157174 0.042007 -0.042007
1 2 1322.099834 0.041758 -0.083848
1 3 1320.356138 0.041344 -0.125358
1 4 1317.953584 0.040767 -0.166373
1 5 1314.930064 0.040030 -0.206732
1 6 1311.333259 0.039134 -0.246274
1 7 1307.219893 0.038084 -0.284845
1 8 1302.654837 0.036884 -0.322292
1 9 1297.710084 0.035538 -0.358467
1 10 1292.463616 0.034051 -0.393227
1 11 1286.998172 0.032431 -0.426435
1 12 1281.399947 0.030682 -0.457960
1 13 1275.757227 0.028812 -0.487678
1 14 1270.159002 0.026829 -0.515471
1 15 1264.693559 0.024740 -0.541230
1 16 1259.447090 0.022553 -0.564853
1 17 1254.502337 0.020277 -0.586247
1 18 1249.937281 0.017921 -0.605327
1 19 1245.823915 0.015494 -0.622018
1 20 1242.227110 0.013006 -0.636254
1 21 1239.203590 0.010467 -0.647980
1 22 1236.801037 0.007887 -0.657148
1 23 1235.057340 0.005275 -0.663722
1 24 1234.000000 0.002643 -0.667677
1 25 1233.645691 0.000000 -0.668997
1 26 1234.000000 -0.002643 -0.667677
1 27 1235.057340 -0.005275 -0.663722
1 28 1236.801037 -0.007887 -0.657148
